Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/setCurrency,283138,283138,7,22.52800951099814,0.4387090002637706,227.62483700080338,0.0,944.1992690714105,944.1992690714105,7,13,19,26,73,120,160,170,200,220,230
,Aggregated,283138,283138,7,22.52800951099814,0.4387090002637706,227.62483700080338,0.0,944.1992690714105,944.1992690714105,7,13,19,26,73,120,160,170,200,220,230
