Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cart/checkout,273996,273996,15,52.96083408838066,0.4451120003068354,288.26743100034946,0.0,913.6823625838338,913.6823625838338,15,45,94,120,170,200,230,250,270,290,290
,Aggregated,273996,273996,15,52.96083408838066,0.4451120003068354,288.26743100034946,0.0,913.6823625838338,913.6823625838338,15,45,94,120,170,200,230,250,270,290,290
